Testing with batch size 20, and 27500 iteration
Iterations:   2250, Training Accuracy: 100.0%
Iterations:   2300, Training Accuracy:  92.0%
Iterations:   2350, Training Accuracy:  92.0%
Iterations:   2400, Training Accuracy:  96.0%
Iterations:   2450, Training Accuracy:  98.0%
Iterations:   2500, Training Accuracy:  98.0%
Iterations:   2550, Training Accuracy:  96.0%
Iterations:   2600, Training Accuracy:  96.0%
Iterations:   2650, Training Accuracy:  96.0%
Iterations:   2700, Training Accuracy: 100.0%
Iterations:   2750, Training Accuracy:  98.0%
Iterations:   2800, Training Accuracy:  94.0%
Iterations:   2850, Training Accuracy:  96.0%
Iterations:   2900, Training Accuracy:  96.0%
Iterations:   2950, Training Accuracy:  96.0%
Iterations:   3000, Training Accuracy:  94.0%
Iterations:   3050, Training Accuracy:  94.0%
Iterations:   3100, Training Accuracy:  98.0%
Iterations:   3150, Training Accuracy:  98.0%
Iterations:   3200, Training Accuracy: 100.0%
Iterations:   3250, Training Accuracy: 100.0%
Iterations:   3300, Training Accuracy:  96.0%
Iterations:   3350, Training Accuracy:  94.0%
Iterations:   3400, Training Accuracy:  98.0%
Iterations:   3450, Training Accuracy:  98.0%
Iterations:   3500, Training Accuracy:  96.0%
Iterations:   3550, Training Accuracy:  98.0%
Iterations:   3600, Training Accuracy:  94.0%
Iterations:   3650, Training Accuracy:  96.0%
Iterations:   3700, Training Accuracy: 100.0%
Iterations:   3750, Training Accuracy: 100.0%
Iterations:   3800, Training Accuracy:  98.0%
Iterations:   3850, Training Accuracy:  96.0%
Iterations:   3900, Training Accuracy:  98.0%
Iterations:   3950, Training Accuracy:  96.0%
Iterations:   4000, Training Accuracy:  96.0%
Iterations:   4050, Training Accuracy: 100.0%
Iterations:   4100, Training Accuracy:  98.0%
Iterations:   4150, Training Accuracy:  96.0%
Iterations:   4200, Training Accuracy: 100.0%
Iterations:   4250, Training Accuracy: 100.0%
Iterations:   4300, Training Accuracy:  98.0%
Iterations:   4350, Training Accuracy: 100.0%
Iterations:   4400, Training Accuracy:  96.0%
Iterations:   4450, Training Accuracy: 100.0%
Iterations:   4500, Training Accuracy:  98.0%
Iterations:   4550, Training Accuracy:  98.0%
Iterations:   4600, Training Accuracy:  94.0%
Iterations:   4650, Training Accuracy:  96.0%
Iterations:   4700, Training Accuracy:  98.0%
Iterations:   4750, Training Accuracy:  98.0%
Iterations:   4800, Training Accuracy:  94.0%
Iterations:   4850, Training Accuracy:  98.0%
Iterations:   4900, Training Accuracy: 100.0%
Iterations:   4950, Training Accuracy: 100.0%
Iterations:   5000, Training Accuracy:  98.0%
Iterations:   5050, Training Accuracy: 100.0%
Iterations:   5100, Training Accuracy: 100.0%
Iterations:   5150, Training Accuracy:  98.0%
Iterations:   5200, Training Accuracy: 100.0%
Iterations:   5250, Training Accuracy: 100.0%
Iterations:   5300, Training Accuracy:  98.0%
Iterations:   5350, Training Accuracy: 100.0%
Iterations:   5400, Training Accuracy:  98.0%
Iterations:   5450, Training Accuracy: 100.0%
Iterations:   5500, Training Accuracy:  96.0%
Iterations:   5550, Training Accuracy:  96.0%
Iterations:   5600, Training Accuracy:  98.0%
Iterations:   5650, Training Accuracy:  96.0%
Iterations:   5700, Training Accuracy:  98.0%
Iterations:   5750, Training Accuracy: 100.0%
Iterations:   5800, Training Accuracy:  96.0%
Iterations:   5850, Training Accuracy: 100.0%
Iterations:   5900, Training Accuracy:  96.0%
Iterations:   5950, Training Accuracy: 100.0%
Iterations:   6000, Training Accuracy:  98.0%
Iterations:   6050, Training Accuracy:  96.0%
Iterations:   6100, Training Accuracy: 100.0%
Iterations:   6150, Training Accuracy:  98.0%
Iterations:   6200, Training Accuracy:  94.0%
Iterations:   6250, Training Accuracy:  98.0%
Iterations:   6300, Training Accuracy: 100.0%
Iterations:   6350, Training Accuracy: 100.0%
Iterations:   6400, Training Accuracy:  98.0%
Iterations:   6450, Training Accuracy:  96.0%
Iterations:   6500, Training Accuracy:  96.0%
Iterations:   6550, Training Accuracy:  98.0%
Iterations:   6600, Training Accuracy:  98.0%
Iterations:   6650, Training Accuracy:  98.0%
Iterations:   6700, Training Accuracy:  96.0%
Iterations:   6750, Training Accuracy:  98.0%
Iterations:   6800, Training Accuracy:  96.0%
Iterations:   6850, Training Accuracy:  98.0%
Iterations:   6900, Training Accuracy: 100.0%
Iterations:   6950, Training Accuracy: 100.0%
Iterations:   7000, Training Accuracy:  98.0%
Iterations:   7050, Training Accuracy:  96.0%
Iterations:   7100, Training Accuracy: 100.0%
Iterations:   7150, Training Accuracy: 100.0%
Iterations:   7200, Training Accuracy:  96.0%
Iterations:   7250, Training Accuracy: 100.0%
Iterations:   7300, Training Accuracy: 100.0%
Iterations:   7350, Training Accuracy: 100.0%
Iterations:   7400, Training Accuracy: 100.0%
Iterations:   7450, Training Accuracy: 100.0%
Iterations:   7500, Training Accuracy:  98.0%
Iterations:   7550, Training Accuracy:  98.0%
Iterations:   7600, Training Accuracy:  94.0%
Iterations:   7650, Training Accuracy:  96.0%
Iterations:   7700, Training Accuracy:  96.0%
Iterations:   7750, Training Accuracy: 100.0%
Iterations:   7800, Training Accuracy: 100.0%
Iterations:   7850, Training Accuracy:  98.0%
Iterations:   7900, Training Accuracy:  94.0%
Iterations:   7950, Training Accuracy: 100.0%
Iterations:   8000, Training Accuracy:  96.0%
Iterations:   8050, Training Accuracy: 100.0%
Iterations:   8100, Training Accuracy: 100.0%
Iterations:   8150, Training Accuracy:  96.0%
Iterations:   8200, Training Accuracy:  96.0%
Iterations:   8250, Training Accuracy: 100.0%
Iterations:   8300, Training Accuracy:  96.0%
Iterations:   8350, Training Accuracy:  98.0%
Iterations:   8400, Training Accuracy: 100.0%
Iterations:   8450, Training Accuracy: 100.0%
Iterations:   8500, Training Accuracy: 100.0%
Iterations:   8550, Training Accuracy: 100.0%
Iterations:   8600, Training Accuracy:  98.0%
Iterations:   8650, Training Accuracy: 100.0%
Iterations:   8700, Training Accuracy:  98.0%
Iterations:   8750, Training Accuracy:  98.0%
Iterations:   8800, Training Accuracy:  98.0%
Iterations:   8850, Training Accuracy:  98.0%
Iterations:   8900, Training Accuracy: 100.0%
Iterations:   8950, Training Accuracy: 100.0%
Iterations:   9000, Training Accuracy: 100.0%
Iterations:   9050, Training Accuracy: 100.0%
Iterations:   9100, Training Accuracy:  98.0%
Iterations:   9150, Training Accuracy: 100.0%
Iterations:   9200, Training Accuracy: 100.0%
Iterations:   9250, Training Accuracy: 100.0%
Iterations:   9300, Training Accuracy:  98.0%
Iterations:   9350, Training Accuracy: 100.0%
Iterations:   9400, Training Accuracy:  98.0%
Iterations:   9450, Training Accuracy: 100.0%
Iterations:   9500, Training Accuracy:  98.0%
Iterations:   9550, Training Accuracy:  98.0%
Iterations:   9600, Training Accuracy:  98.0%
Iterations:   9650, Training Accuracy: 100.0%
Iterations:   9700, Training Accuracy:  98.0%
Iterations:   9750, Training Accuracy:  96.0%
Iterations:   9800, Training Accuracy: 100.0%
Iterations:   9850, Training Accuracy:  98.0%
Iterations:   9900, Training Accuracy: 100.0%
Iterations:   9950, Training Accuracy: 100.0%
Iterations:  10000, Training Accuracy: 100.0%
Iterations:  10050, Training Accuracy: 100.0%
Iterations:  10100, Training Accuracy: 100.0%
Iterations:  10150, Training Accuracy: 100.0%
Iterations:  10200, Training Accuracy: 100.0%
Iterations:  10250, Training Accuracy: 100.0%
Iterations:  10300, Training Accuracy:  96.0%
Iterations:  10350, Training Accuracy:  98.0%
Iterations:  10400, Training Accuracy:  98.0%
Iterations:  10450, Training Accuracy: 100.0%
Iterations:  10500, Training Accuracy: 100.0%
Iterations:  10550, Training Accuracy:  98.0%
Iterations:  10600, Training Accuracy: 100.0%
Iterations:  10650, Training Accuracy:  96.0%
Iterations:  10700, Training Accuracy: 100.0%
Iterations:  10750, Training Accuracy: 100.0%
Iterations:  10800, Training Accuracy: 100.0%
Iterations:  10850, Training Accuracy: 100.0%
Iterations:  10900, Training Accuracy: 100.0%
Iterations:  10950, Training Accuracy: 100.0%
Time usage: 0:00:53
Accuracy on Test-Set: 98.5% (9850 / 10000)
Confusion matrix obtained:
[[ 973    0    1    0    0    1    1    1    3    0]
 [   0 1133    1    0    0    0    0    1    0    0]
 [   1    1 1019    2    1    0    0    4    4    0]
 [   1    0    1 1002    0    2    0    2    2    0]
 [   0    0    1    0  966    0    1    3    0   11]
 [   2    0    0   12    0  872    1    2    2    1]
 [   9    3    0    1    2    8  935    0    0    0]
 [   0    1    7    2    0    0    0 1014    1    3]
 [   3    1    3    8    2    2    0    4  945    6]
 [   3    4    0    3    4    1    0    3    0  991]]
 Testing with batch size 100, and 5500 iteration
Iterations:      0, Training Accuracy:  11.0%
Iterations:     50, Training Accuracy:  51.0%
Iterations:    100, Training Accuracy:  67.0%
Iterations:    150, Training Accuracy:  80.0%
Iterations:    200, Training Accuracy:  83.0%
Iterations:    250, Training Accuracy:  87.0%
Iterations:    300, Training Accuracy:  89.0%
Iterations:    350, Training Accuracy:  93.0%
Iterations:    400, Training Accuracy:  80.0%
Iterations:    450, Training Accuracy:  90.0%
Iterations:    500, Training Accuracy:  86.0%
Iterations:    550, Training Accuracy:  92.0%
Iterations:    600, Training Accuracy:  90.0%
Iterations:    650, Training Accuracy:  96.0%
Iterations:    700, Training Accuracy:  97.0%
Iterations:    750, Training Accuracy:  94.0%
Iterations:    800, Training Accuracy:  95.0%
Iterations:    850, Training Accuracy:  94.0%
Iterations:    900, Training Accuracy:  91.0%
Iterations:    950, Training Accuracy:  91.0%
Iterations:   1000, Training Accuracy:  96.0%
Iterations:   1050, Training Accuracy:  93.0%
Iterations:   1100, Training Accuracy:  93.0%
Iterations:   1150, Training Accuracy:  95.0%
Iterations:   1200, Training Accuracy:  91.0%
Iterations:   1250, Training Accuracy:  95.0%
Iterations:   1300, Training Accuracy:  92.0%
Iterations:   1350, Training Accuracy:  96.0%
Iterations:   1400, Training Accuracy:  94.0%
Iterations:   1450, Training Accuracy:  95.0%
Iterations:   1500, Training Accuracy:  92.0%
Iterations:   1550, Training Accuracy:  96.0%
Iterations:   1600, Training Accuracy:  95.0%
Iterations:   1650, Training Accuracy: 100.0%
Iterations:   1700, Training Accuracy: 100.0%
Iterations:   1750, Training Accuracy:  96.0%
Iterations:   1800, Training Accuracy:  99.0%
Iterations:   1850, Training Accuracy:  96.0%
Iterations:   1900, Training Accuracy:  96.0%
Iterations:   1950, Training Accuracy:  96.0%
Iterations:   2000, Training Accuracy:  98.0%
Iterations:   2050, Training Accuracy:  98.0%
Iterations:   2100, Training Accuracy:  98.0%
Iterations:   2150, Training Accuracy:  95.0%
Iterations:   2200, Training Accuracy:  96.0%
Iterations:   2250, Training Accuracy:  98.0%
Iterations:   2300, Training Accuracy:  98.0%
Iterations:   2350, Training Accuracy:  97.0%
Iterations:   2400, Training Accuracy:  99.0%
Iterations:   2450, Training Accuracy:  93.0%
Iterations:   2500, Training Accuracy:  98.0%
Iterations:   2550, Training Accuracy:  95.0%
Iterations:   2600, Training Accuracy:  99.0%
Iterations:   2650, Training Accuracy:  98.0%
Iterations:   2700, Training Accuracy:  97.0%
Iterations:   2750, Training Accuracy:  98.0%
Iterations:   2800, Training Accuracy:  94.0%
Iterations:   2850, Training Accuracy: 100.0%
Iterations:   2900, Training Accuracy:  97.0%
Iterations:   2950, Training Accuracy:  98.0%
Iterations:   3000, Training Accuracy:  98.0%
Iterations:   3050, Training Accuracy:  97.0%
Iterations:   3100, Training Accuracy:  97.0%
Iterations:   3150, Training Accuracy:  99.0%
Iterations:   3200, Training Accuracy:  99.0%
Iterations:   3250, Training Accuracy:  95.0%
Iterations:   3300, Training Accuracy:  98.0%
Iterations:   3350, Training Accuracy:  97.0%
Iterations:   3400, Training Accuracy:  98.0%
Iterations:   3450, Training Accuracy:  99.0%
Iterations:   3500, Training Accuracy:  97.0%
Iterations:   3550, Training Accuracy:  97.0%
Iterations:   3600, Training Accuracy:  98.0%
Iterations:   3650, Training Accuracy:  97.0%
Iterations:   3700, Training Accuracy:  98.0%
Iterations:   3750, Training Accuracy:  96.0%
Iterations:   3800, Training Accuracy: 100.0%
Iterations:   3850, Training Accuracy:  98.0%
Iterations:   3900, Training Accuracy:  99.0%
Iterations:   3950, Training Accuracy:  99.0%
Iterations:   4000, Training Accuracy:  98.0%
Iterations:   4050, Training Accuracy: 100.0%
Iterations:   4100, Training Accuracy:  98.0%
Iterations:   4150, Training Accuracy:  96.0%
Iterations:   4200, Training Accuracy:  97.0%
Iterations:   4250, Training Accuracy:  98.0%
Iterations:   4300, Training Accuracy:  97.0%
Iterations:   4350, Training Accuracy:  97.0%
Iterations:   4400, Training Accuracy:  99.0%
Iterations:   4450, Training Accuracy:  99.0%
Iterations:   4500, Training Accuracy:  98.0%
Iterations:   4550, Training Accuracy:  99.0%
Iterations:   4600, Training Accuracy:  99.0%
Iterations:   4650, Training Accuracy:  96.0%
Iterations:   4700, Training Accuracy: 100.0%
Iterations:   4750, Training Accuracy:  97.0%
Iterations:   4800, Training Accuracy:  98.0%
Iterations:   4850, Training Accuracy:  99.0%
Iterations:   4900, Training Accuracy:  99.0%
Iterations:   4950, Training Accuracy:  99.0%
Iterations:   5000, Training Accuracy:  98.0%
Iterations:   5050, Training Accuracy: 100.0%
Iterations:   5100, Training Accuracy:  95.0%
Iterations:   5150, Training Accuracy:  99.0%
Iterations:   5200, Training Accuracy:  97.0%
Iterations:   5250, Training Accuracy:  99.0%
Iterations:   5300, Training Accuracy:  97.0%
Iterations:   5350, Training Accuracy:  99.0%
Iterations:   5400, Training Accuracy:  99.0%
Iterations:   5450, Training Accuracy:  97.0%
Time usage: 0:00:42
Accuracy on Test-Set: 98.5% (9846 / 10000)
Confusion matrix obtained:
[[ 971    0    1    0    0    1    1    1    4    1]
 [   0 1122    4    0    0    0    1    2    6    0]
 [   2    1 1020    0    1    0    0    4    4    0]
 [   0    0    2 1001    0    2    0    3    2    0]
 [   0    0    3    0  969    0    2    2    3    3]
 [   2    0    0    9    0  874    2    2    1    2]
 [   4    3    0    0    1    3  945    0    2    0]
 [   0    1   13    2    0    0    0 1008    1    3]
 [   3    0    3    1    1    2    0    2  961    1]
 [   3    5    0    5    7    2    0    6    6  975]]
